date,title,citations,year,venue
2026-04-06,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-06,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,31,2026,
2026-04-06,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-06,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-06,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-06,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-06,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-06,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-06,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-06,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-06,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-06,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-06,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-06,LLM Agent Memory: A Survey from a Unified Representation–Management Perspective,0,2026,
2026-04-06,Automated Machine Learning and Its Applications,0,2023,
2026-04-07,AutoML: A survey of the state-of-the-art,2634,2021,
2026-04-07,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-07,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-07,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,124,2025,
2026-04-07,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-07,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-07,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-07,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-07,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,31,2026,
2026-04-07,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-07,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-07,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-07,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-07,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-07,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-07,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-07,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-07,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-07,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-07,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-08,AutoML: A survey of the state-of-the-art,2634,2021,
2026-04-08,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-08,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-08,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,124,2025,
2026-04-08,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-08,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-08,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-08,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-08,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,31,2026,
2026-04-08,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-08,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-08,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-08,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-08,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-08,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-08,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-08,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-08,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-08,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-08,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-09,AutoML: A survey of the state-of-the-art,2634,2021,
2026-04-09,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-09,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-09,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,124,2025,
2026-04-09,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-09,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-09,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-09,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-09,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,31,2026,
2026-04-09,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-09,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-09,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-09,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-09,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-09,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-09,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-09,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-09,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-09,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-09,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-10,AutoML: A survey of the state-of-the-art,2636,2021,
2026-04-10,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-10,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-10,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,125,2025,
2026-04-10,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-10,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-10,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-10,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-10,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-10,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-10,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-10,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-10,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-10,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-10,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-10,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-10,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-10,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-10,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-10,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-11,AutoML: A survey of the state-of-the-art,2642,2021,
2026-04-11,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-11,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,126,2025,
2026-04-11,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-11,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-11,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-11,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-11,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-11,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-11,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-11,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-11,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-11,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-11,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-11,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-11,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-11,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-11,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-11,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-11,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-12,AutoML: A survey of the state-of-the-art,2642,2021,
2026-04-12,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-12,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,126,2025,
2026-04-12,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-12,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-12,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-12,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-12,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-12,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-12,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-12,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-12,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-12,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-12,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-12,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-12,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-12,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-12,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-12,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-12,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-13,AutoML: A survey of the state-of-the-art,2644,2021,
2026-04-13,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-13,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,131,2025,
2026-04-13,Benchmarking the performance and energy efficiency of AI accelerators for AI training,127,2020,
2026-04-13,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-13,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-13,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-13,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-13,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-13,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-13,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-13,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-13,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-13,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-13,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-13,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-13,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-13,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-13,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-13,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-14,AutoML: A survey of the state-of-the-art,2644,2021,
2026-04-14,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-14,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,134,2025,
2026-04-14,Benchmarking the performance and energy efficiency of AI accelerators for AI training,127,2020,
2026-04-14,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-14,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-14,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-14,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-14,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-14,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-14,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-14,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-14,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-14,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-14,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-14,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-14,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-14,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-14,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-14,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-15,AutoML: A survey of the state-of-the-art,2644,2021,
2026-04-15,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-15,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,134,2025,
2026-04-15,Benchmarking the performance and energy efficiency of AI accelerators for AI training,127,2020,
2026-04-15,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-15,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-15,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-15,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-15,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-15,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-15,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-15,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-15,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-15,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-15,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-15,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-15,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-15,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-15,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-15,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-16,AutoML: A survey of the state-of-the-art,2644,2021,
2026-04-16,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-16,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,134,2025,
2026-04-16,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-16,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-16,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-16,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-16,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-16,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-16,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-16,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-16,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-16,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-16,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-16,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-16,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-16,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-16,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-16,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-16,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-17,AutoML: A survey of the state-of-the-art,2646,2021,
2026-04-17,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-17,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,135,2025,
2026-04-17,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-17,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-17,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-17,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-17,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-17,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-17,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-17,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-17,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-17,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-17,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-17,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-17,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-17,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-17,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-17,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-17,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-18,AutoML: A survey of the state-of-the-art,2646,2021,
2026-04-18,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-18,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,135,2025,
2026-04-18,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-18,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-18,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-18,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-18,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-18,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-18,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-18,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-18,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-18,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-18,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-18,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-18,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-18,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-18,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-18,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
